id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
17,,Combustion Air,,,,mechanical_systems,mechanical_engineer,User notes:About this chapter: Chapter 17 applies only to oil-fired and solid fuel-fired appliances. Chapter 24 applies to combustion air for gas-fired appliances.Code development reminder: Code change proposals to this chapter will be considered by the IRC—Plumbing/Mechanical Code Development Committee during the 2021 (Group A) Code Development Cycle.
M1701.1,Section M1701 General,Scope,,,,mechanical_systems,mechanical_engineer,"Solid fuel-burning appliances shall be provided with combustion air in accordance with the appliance manufacturer's installation instructions. Oil-fired appliances shall be provided with combustion air in accordance with NFPA 31. The methods of providing combustion air in this chapter do not apply to fireplaces, fireplace stoves and direct-vent appliances. The requirements for combustion and dilution air for gas-fired appliances shall be in accordance with Chapter 24."
M1701.2,Section M1701 General,Opening Location,,,,mechanical_systems,mechanical_engineer,"In flood hazard areas as established in Table R301.2, combustion air openings shall be located at or above the elevation required in Section R322.2.1 or R322.3.2."
