id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
AG,,Piping Standards for Various Applications,,,,plumbing_systems,mechanical_engineer,"User note:About this appendix: Plastic piping is commonly used in the construction of buildings covered by this code. Appendix AG provides a table of the most commonly used standards for plastic piping in a variety of applications. Although some standards in this table are not referenced in the code, the majority of standards indicated are listed in the Referenced Standards chapter of this code."
AG101.1,Section AG101 Plastic Piping Standards,Plastic Piping,,,,plumbing_systems,mechanical_engineer,"Table AG101.1 provides a list of plastic piping product standards for various applications.TABLE AG101.1PLASTIC PIPING STANDARDS FOR VARIOUS APPLICATIONSa, bAPPLICATIONLOCATIONTYPE OF PLASTIC PIPINGABSCPVCPEPE-AL-PEPE-RTPEXPEX-AL-PEXPPPVCCentral vacuumSystem piping————————ASTM F2158Foundation drainageSystem pipingASTM F628—ASTM F405—————ASTM D2665; ASTM D2729; ASTM D3034Geothermal ground loopSystem piping—ASTM D2846; ASTM F441; ASTM F442; ASTM F2855; CSA B137.6ASTM D2239; ASTM D2737; ASTM D3035ASTM F1282ASTM F2623; ASTM F2769; CSA B137.18ASTM F876; CSA B137.5ASTM F1281ASTM F2389; CSA B137.11ASTM D1785; ASTM D2241; CSA B137.3Loop piping——ASTM D2239; ASTM D2737; ASTM D3035; NSF 358-1ASTM F1282ASTM F2623; ASTM F2769; CSA B137.18ASTM F876; CSA B137.5—ASTM F2389; CSA B137.11—GraywaterNonpressure distribution/collectionASTM F628—ASTM D2239; ASTM D2737; ASTM D3035; ASTM F2306————ASTM F2389; CSA B137.11ASTM D1785; ASTM D2729; ASTM D2949; ASTM D3034; ASTM F891; ASTM F1760; CSA B137.3Pressure/distribution—ASTM D2846; ASTM F441; ASTM F442; ASTM F2855; CSA B137.6ASTM D2239; ASTM D2737; ASTM D3035ASTM F1282ASTM F2623; ASTM F2769; CSA B137.18ASTM F876; CSA B137.5ASTM F1281ASTM F2389; CSA B137.11ASTM D1785; ASTM D2241; CSA B137.3Radiant coolingLoop piping—ASTM D2846; ASTM F441; ASTM F442; ASTM F2855ASTM D2239; ASTM D2737; ASTM D3035ASTM F1282ASTM F2623; ASTM F2769; CSA B137.18ASTM F876; CSA B137.5ASTM F1281ASTM F2389; CSA B137.11—Radiant heatingLoop piping—ASTM D2846; ASTM F441; ASTM F442; ASTM F2855—ASTM F1282ASTM F2623; ASTM F2769; CSA B137.18ASTM F876; CSA B137.5ASTM F1281ASTM F2389; CSA B137.11—Rainwater harvestingNonpressure/collectionASTM F628—ASTM F1901————ASTM F2389; CSA B137.11ASTM D1785; ASTM D2729; ASTM D2949; ASTM F891; ASTM F1760; CSA B137.3Pressure/distribution—ASTM D2846/D2846M; ASTM F441; ASTM F442; ASTM F2855; CSA B137.6ASTM D2239 ASTM D2737; ASTM D3035ASTM F1282ASTM F2623; ASTM F2769; CSA B137.18ASTM F876; CSA B137.5ASTM F1281ASTM F2389; CSA B137.11ASTM D1785; ASTM D2241; CSA B137.3Radon ventingSystem pipingASTM F628———————ASTM D1785; ASTM F891; ASTM F1760Reclaimed waterMain to building service—ASTM D2846/D2846M; ASTM F441; ASTM F442; ASTM F2855; CSA B137.6ASTM D3035; AWWA C901; CSA B137.1ASTM F1282ASTM F2623; ASTM F2769; CSA B137.18ASTM F876; AWWA C904; CSA B137.5—ASTM F2389; CSA B137.11ASTM D1785; ASTM D2241; AWWA C905; CSA B137.3Pressure/distribution/irrigation—ASTM D2846; ASTM F441; ASTM F442; ASTM F2855; CSA B137.6ASTM D2239; ASTM D2737; ASTM D3035ASTM F1282ASTM F2623; ASTM F2769; CSA B137.18ASTM F876; CSA B137.5ASTM F1281ASTM F2389; AWWA C900; CSA B137.11ASTM D1785; ASTM D2241; AWWA C900Residential fire sprinklerscSprinkler piping—ASTM F441; ASTM F442; CSA B137.6; UL 1821——ASTM F2769; CSA B137.18ASTM F876; CSA B137.5; UL 1821—ASTM F2389; CSA B137.11—Solar heatingPressure/distribution—ASTM D2846; ASTM F441; ASTM F442; ASTM F2855——ASTM F2623; ASTM F2769; CSA B137.18ASTM F876; CSA B137.5ASTM F1281ASTM F2389; CSA B137.11—This table indicates manufacturing standards for plastic piping materials that are suitable for use in the applications indicated. Such applications support green and sustainable building practices. The system designer or the installer of piping shall verify that the piping chosen for an application complies with local codes and the recommendations of the manufacturer of the piping.Fittings applicable for the piping shall be as recommended by the manufacturer of the piping.Piping systems for fire sprinkler applications shall be listed for the application."
AG102.1,Section AG102 Referenced Standards,General,,,,plumbing_systems,mechanical_engineer,"See Table AG102.1 for standards that are referenced in this appendix. Standards are listed by the standard identification with the effective date, standard title, and the table that references the standard.TABLE AG102.1REFERENCED STANDARDSSTANDARD ACRONYMSTANDARD NAMETABLE HEREIN REFERENCEDASTM D1785—15E1Specification for Poly (Vinyl Chloride) (PVC) Plastic Pipe, Schedules 40, 80 and 120Table AG101.1ASTM D2239—12ASpecification for Polyethylene (PE) Plastic Pipe (SIDR-PR) Based on Controlled Inside DiameterTable AG101.1ASTM D2241—15Specification for Poly (Vinyl Chloride) (PVC) Pressure-rated Pipe (SDR-Series)Table AG101.1ASTM D2665—14Specification for Poly (Vinyl Chloride) (PVC) Plastic Drain, Waste and Vent Pipe and FittingsTable AG101.1ASTM D2729—17Specification for Poly (Vinyl Chloride) (PVC) Sewer Pipe and FittingsTable AG101.1ASTM D2737—2012ASpecification for Polyethylene (PE) Plastic TubingTable AG101.1ASTM D2846/D2846M—2017BE1Specification for Chlorinated Poly (Vinyl Chloride) (CPVC) Plastic Hot- and Cold-water Distribution SystemsTable AG101.1ASTM D2949—10Specification for 3.25-in. Outside Diameter Poly (Vinyl Chloride) (PVC) Plastic Drain, Waste and Vent Pipe and FittingsTable AG101.1ASTM D3034—2016Specification for Type PSM Poly (Vinyl Chloride) (PVC) Sewer Pipe and FittingsTable AG101.1ASTM D3035—15Specification for Polyethylene (PE) Plastic Pipe (DR-PR) Based on Controlled Outside DiameterTable AG101.1ASTM F405—05Specification for Corrugated Polyethylene (PE) Pipe and FittingsTable AG101.1ASTM F441/F441M—15Specification for Chlorinated Poly (Vinyl Chloride) (CPVC) Plastic Pipe, Schedules 40 and 80Table AG101.1ASTM F442/F442M—13E1Specification for Chlorinated Poly (Vinyl Chloride) (CPVC) Plastic Pipe (SDR-PR)Table AG101.1ASTM F628—2012E2Specification for Acrylonitrile-butadiene-styrene (ABS) Schedule 40 Plastic Drain, Waste and Vent Pipe with a Cellular CoreTable AG101.1ASTM F876—2017Specification for Cross-linked Polyethylene (PEX) TubingTable AG101.1ASTM F891—2016Specification for Coextruded Poly (Vinyl Chloride) (PVC) Plastic Pipe with a Cellular CoreTable AG101.1ASTM F1281—2017Specification for Cross-linked Polyethylene/Aluminum/Cross-linked Polyethylene (PEX-AL-PEX) Pressure PipeTable AG101.1ASTM F1282—2017Specification for Polyethylene/Aluminum/Polyethylene (PE-AL-PE) Composite Pressure PipeTable AG101.1ASTM F1760—01 (2011)Standard Specification for Coextruded Poly (Vinyl Chloride) (PVC) Non-Pressure Plastic Pipe Having Reprocessed-Recycled ContentTable AG101.1ASTM F1901—10Standard Specification for Polyethylene (PE) Pipe and Fittings for Roof Drain SystemsTable AG101.1ASTM F2158—08 (2016)Standard for Residential Central-vacuum Tube and FittingsTable AG101.1ASTM F2306/ F2306M—2018Standard Specification for 12"" to 60"" Annular Corrugated Profile-wall Polyethylene (PE) Pipe and Fittings for Gravity Flow Storm Sewer and Sub-surface Drainage ApplicationsTable AG101.1ASTM F2389—2017AStandard for Pressure-rated Polypropylene (PP) Piping SystemsTable AG101.1ASTM F2623—14Standard Specification for Polyethylene of Raised Temperature (PE-RT) SDRG TubingTable AG101.1ASTM F2769—18Polyethylene or Raised Temperature (PE-RT) Plastic Hot and Cold-Water Tubing and Distribution SystemsTable AG101.1ASTM F2855—12Standard Specification for Chlorinated Poly (Vinyl Chloride)/Aluminum/Chlorinated Poly (Vinyl Chloride) (CPVC AL CPVC) Composite Pressure TubingTable AG101.1AWWA C900—07Polyvinyl chloride (PVC) Pressure Pipe and Fabricated Fittings, 4 in. through 12 in. (350 mm through 1200 mm), for Water Transmission and DistributionTable AG101.1AWWA C901—16Polyethylene (PE) Pressure Pipe and Tubing 1/2 in. (13 mm) through 3 in. (76 mm) for Water ServiceTable AG101.1AWWA C904—16Cross-linked Polyethylene (PEX) Pressure Tubing, 1/2 in. (13 mm) through 3 in. (76 mm) for Water ServiceTable AG101.1AWWA C905—10Polyvinyl chloride (PVC) Pressure Pipe and Fabricated Fittings, 14 in. through 48 in. (100 mm through 300 mm)Table AG101.1CSA B137.1—17Polyethylene (PE) Pipe, Tubing and Fittings for Cold Water Pressure ServicesTable AG101.1CSA B137.3—17Rigid Poly (Vinyl Chloride) (PVC) Pipe for Pressure ApplicationsTable AG101.1CSA B137.5—17Cross-linked Polyethylene (PEX) Tubing Systems for Pressure ApplicationsTable AG101.1CSA B137.6—17Chlorinated polyvinylchloride CPVC Pipe, Tubing and Fittings for Hot- and Cold-water Distribution SystemsTable AG101.1CSA B137.11—17Polypropylene (PP-R) Pipe and Fittings for Pressure ApplicationsTable AG101.1CSA B137.18—17Polyethylene of Raised Temperature (PE-RT) Tubing Systems for Pressure ApplicationsTable AG101.1NSF 358-1—2017Polyethylene Pipe and Fittings for Water-based Ground Source ""Geothermal"" Heat Pump SystemsTable AG101.1UL 1821—2011Standard for Thermoplastic Sprinkler Pipe and Fittings for Fire Protection Service—with revisions through August 2015Table AG101.1"
