id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
btu_,Section 202 (IFGC) General Definitions,BTU,,,,,,"Abbreviation for British thermal unit, which is the quantity of heat required to raise the temperature of 1 pound (454 g) of water 1°F (0.56°C) (1 Btu = 1055 J)."
burner_,Section 202 (IFGC) General Definitions,Burner,,,,,,"A device for the final conveyance of the gas, or a mixture of gas and air, to the combustion zone."
burner_induced_draft_,Section 202 (IFGC) General Definitions,Induced-Draft,,,,,,A burner that depends on draft induced by a fan that is an integral part of the appliance and is located downstream from the burner.
burner_power_,Section 202 (IFGC) General Definitions,Power,,,,,,"A burner in which gas, air or both are supplied at pressures exceeding, for gas, the line pressure, and for air, atmospheric pressure, with this added pressure being applied at the burner."
chimney_,Section 202 (IFGC) General Definitions,Chimney,,,,,,"A primarily vertical structure containing one or more flues, for the purpose of carrying gaseous products of combustion and air from an appliance to the outside atmosphere."
factory_built_chimney_,Section 202 (IFGC) General Definitions,Factory-Built Chimney,,,,,,"A listed and labeled chimney composed of factory-made components, assembled in the field in accordance with manufacturer's instructions and the conditions of the listing."
masonry_chimney_,Section 202 (IFGC) General Definitions,Masonry Chimney,,,,,,"A field-constructed chimney composed of solid masonry units, bricks, stones or concrete."
metal_chimney_,Section 202 (IFGC) General Definitions,Metal Chimney,,,,,,A field-constructed chimney of metal.
clearance_,Section 202 (IFGC) General Definitions,Clearance,,,,,,"The minimum distance through air measured between the heat-producing surface of the mechanical appliance, device or equipment and the surface of the combustible material or assembly."
clothes_dryer_,Section 202 (IFGC) General Definitions,Clothes Dryer,,,,,,An appliance used to dry wet laundry by means of heated air. Dryer classifications are as follows:
clothes_dryer_type_1_,Section 202 (IFGC) General Definitions,Type 1,,,,,,"Factory-built package, multiple production. Primarily used in family living environment. Usually the smallest unit physically and in function output."
clothes_dryer_type_2_,Section 202 (IFGC) General Definitions,Type 2,,,,,,"Factory-built package, multiple production. Used in business with direct intercourse of the function with the public. Not designed for use in individual family living environment."
code_,Section 202 (IFGC) General Definitions,Code,,,,,,"These regulations, subsequent amendments thereto or any emergency rule or regulation that the administrative authority having jurisdiction has lawfully adopted."
code_official_,Section 202 (IFGC) General Definitions,Code Official,,,,,,"The officer or other designated authority charged with the administration and enforcement of this code, or a duly authorized representative."
combustible_assembly_,Section 202 (IFGC) General Definitions,Combustible Assembly,,,,,,"Wall, floor, ceiling or other assembly constructed of one or more component materials that are not defined as noncombustible."
combustible_material_,Section 202 (IFGC) General Definitions,Combustible Material,,,,,,Any material not defined as noncombustible.
combustion_,Section 202 (IFGC) General Definitions,Combustion,,,,,,"In the context of this code, refers to the rapid oxidation of fuel accompanied by the production of heat or heat and light."
combustion_air_,Section 202 (IFGC) General Definitions,Combustion Air,,,,,,"Air necessary for complete combustion of a fuel, including theoretical air and excess air."
combustion_chamber_,Section 202 (IFGC) General Definitions,Combustion Chamber,,,,,,The portion of an appliance within which combustion occurs.
combustion_products_,Section 202 (IFGC) General Definitions,Combustion Products,,,,,,"Constituents resulting from the combustion of a fuel with the oxygen of the air, including inert gases, but excluding excess air."
concealed_location_,Section 202 (IFGC) General Definitions,Concealed Location,,,,,,"A location that cannot be accessed without damaging permanent parts of the building structure or finish surface. Spaces above, below or behind readily removable panels or doors shall not be considered as concealed."
concealed_piping_,Section 202 (IFGC) General Definitions,Concealed Piping,,,,,,"Piping that is located in a concealed location (see ""Concealed location"")."
ifgc_condensate_,Section 202 (IFGC) General Definitions,Condensate,,,,,,The liquid that condenses from a gas (including flue gas) caused by a reduction in temperature or increase in pressure.
connector_appliance_fuel_,Section 202 (IFGC) General Definitions,"Connector, Appliance (Fuel)",,,,,,"Rigid metallic pipe and fittings, semirigid metallic tubing and fittings or a listed and labeled device that connects an appliance to the gas piping system."
connector_chimney_or_vent_,Section 202 (IFGC) General Definitions,"Connector, Chimney or Vent",,,,,,The pipe that connects an appliance to a chimney or vent.
construction_documents_,Section 202 (IFGC) General Definitions,Construction Documents,,,,,,"All of the written, graphic and pictorial documents prepared or assembled for describing the design, location and physical characteristics of the elements of the project necessary for obtaining a mechanical permit."
control_,Section 202 (IFGC) General Definitions,Control,,,,,,"A manual or automatic device designed to regulate the gas, air, water or electrical supply to, or operation of, a mechanical system."
conversion_burner_,Section 202 (IFGC) General Definitions,Conversion Burner,,,,,,A unit consisting of a burner and its controls for installation in an appliance originally utilizing another fuel.
counter_appliances_,Section 202 (IFGC) General Definitions,Counter Appliances,,,,,,"Appliances such as coffee brewers and coffee urns and any appurtenant water-heating appliance, food and dish warmers, hot plates, griddles, waffle bakers and other appliances designed for installation on or in a counter."
