id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
C,,Group U—Agricultural Buildings,,,,,,"The provisions contained in this appendix are not mandatory unless specifically referenced in the adopting ordinance.User note:About this appendix: Agricultural buildings are given special consideration in Appendix C. Often such buildings have unique uses and structural needs. Where an agricultural building is surrounded by 60 feet of open area on all sides, size limits are waived. Automatic sprinkler protection may be required."
C101.1,Section C101 General,Scope,,,,,,"The provisions of this appendix shall apply exclusively to agricultural buildings. Such buildings shall be classified as Group U and shall include the following uses:Livestock shelters or buildings, including shade structures and milking barns.Poultry buildings or shelters.Barns.Storage of equipment and machinery used exclusively in agriculture.Horticultural structures, including detached production greenhouses and crop protection shelters.Sheds.Grain silos.Stables."
C102.1,Section C102 Allowable Height and Area,General,,,,,,"Buildings classified as Group U Agricultural shall not exceed the area or height limits specified in Table C102.1. TABLE C102.1BASIC ALLOWABLE AREA FOR A GROUP U, ONE STORY IN HEIGHT AND MAXIMUM HEIGHT OF SUCH OCCUPANCY I II III and IV V A B A B III A and IV III B A B ALLOWABLE AREA (square feet)a Unlimited 60,000 27,100 18,000 27,100 18,000 21,100 12,000 MAXIMUM HEIGHT IN STORIES Unlimited 12 4 2 4 2 3 2 MAXIMUM HEIGHT IN FEET Unlimited 160 65 55 65 55 50 40 For SI: 1 square foot = 0.0929 m2.See Section C102 for unlimited area under certain conditions."
C102.2,Section C102 Allowable Height and Area,One-Story Unlimited Area,,,,,,The area of a one-story Group U agricultural building shall not be limited if the building is surrounded and adjoined by public ways or yards not less than 60 feet (18 288 mm) in width.
C102.3,Section C102 Allowable Height and Area,Two-Story Unlimited Area,,,,,,The area of a two-story Group U agricultural building shall not be limited if the building is surrounded and adjoined by public ways or yards not less than 60 feet (18 288 mm) in width and is provided with an approved automatic sprinkler system throughout in accordance with Section 903.3.1.1.
C103.1,Section C103 Mixed Occupancies,Mixed Occupancies,,,,,,Mixed occupancies shall be protected in accordance with Section 508.
C104.1,Section C104 Exits,Exit Facilities,,,,,,"Exits shall be provided in accordance with Chapters 10 and 11.Exceptions:The maximum travel distance from any point in the building to an approved exit shall not exceed 300 feet (91 440 mm).One exit is required for each 15,000 square feet (1393.5 m2) of area or fraction thereof."
