id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
building_,Section 202 General Definitions,Building,,,,,,Any structure utilized or intended for supporting or sheltering any occupancy.
ceiling_radiation_damper_,Section 202 General Definitions,Ceiling Radiation Damper,,,,,,A listed device installed in a ceiling membrane of a fire-resistance-rated floor/ceiling or roof/ceiling assembly to limit automatically the radiative heat transfer through an air inlet/outlet opening. Ceiling radiation dampers are classified for use in either static systems that will automatically shut down in the event of a fire or in dynamic systems that continue to operate during a fire. A dynamic ceiling radiation damper is tested and rated for closure under elevated temperature airflow.
chimney_,Section 202 General Definitions,Chimney,,,,,,"A primarily vertical structure containing one or more flues, for the purpose of carrying gaseous products of combustion and air from a fuel-burning appliance to the outdoor atmosphere."
factory_built_chimney_,Section 202 General Definitions,Factory-Built Chimney,,,,,,"A listed and labeled chimney composed of factory-made components, assembled in the field in accordance with manufacturer's instructions and the conditions of the listing."
masonry_chimney_,Section 202 General Definitions,Masonry Chimney,,,,,,"A field-constructed chimney composed of solid masonry units, bricks, stones or concrete."
metal_chimney_,Section 202 General Definitions,Metal Chimney,,,,,,A field-constructed chimney of metal.
chimney_connector_,Section 202 General Definitions,Chimney Connector,,,,,,A pipe that connects a fuel-burning appliance to a chimney.
clearance_,Section 202 General Definitions,Clearance,,,,,,"The minimum distance through air measured between the heat-producing surface of the mechanical appliance, device or equipment and the surface of the combustible material or assembly."
closed_combustion_solid_fuel_burning_appliance_,Section 202 General Definitions,Closed Combustion Solid-Fuel-Burning Appliance,,,,,,"A heat-producing appliance that employs a combustion chamber that does not have openings other than the flue collar, fuel charging door and adjustable openings provided to control the amount of combustion air that enters the combustion chamber."
clothes_dryer_,Section 202 General Definitions,Clothes Dryer,,,,,,An appliance used to dry wet laundry by means of heat.
code_,Section 202 General Definitions,Code,,,,,,"These regulations, subsequent amendments thereto, or any emergency rule or regulation that the administrative authority having jurisdiction has lawfully adopted."
code_official_,Section 202 General Definitions,Code Official,,,,,,"The officer or other designated authority charged with the administration and enforcement of this code, or a duly authorized representative."
combination_fire_smoke_damper_,Section 202 General Definitions,Combination Fire/Smoke Damper,,,,,,"A listed device installed in ducts and air transfer openings designed to close automatically upon the detection of heat and resist the passage of flame and smoke. The device is installed to operate automatically, be controlled by a smoke detection system, and where required, is capable of being positioned from a fire command center."
combustible_assembly_,Section 202 General Definitions,Combustible Assembly,,,,,,"Wall, floor, ceiling or other assembly constructed of one or more component materials that are not defined as noncombustible."
combustible_liquid_,Section 202 General Definitions,Combustible Liquid,,,,,,A liquid having a closed cup flash point at or above 100°F (38°C). Combustible liquids shall be subdivided as follows:
combustible_liquid_class_ii_,Section 202 General Definitions,Class II,,,,,,Liquids having a closed cup flash point at or above 100°F (38°C) and below 140°F (60°C).
