id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
803.9,Section 803 Connectors,Chimney Connector Construction,,,,,,"Chimney connectors for low-heat appliances shall be of sheet steel pipe having resistance to corrosion and heat not less than that of galvanized steel specified in Table 803.9(1). Connectors for medium-heat appliances and high-heat appliances shall be of sheet steel not less than the thickness specified in Table 803.9(2).TABLE 803.9(1)MINIMUM CHIMNEY CONNECTOR THICKNESS FOR LOW-HEAT APPLIANCESDIAMETER OF CONNECTOR (inches)MINIMUM NOMINAL THICKNESS (galvanized) (inches)5 and smaller0.022 (No. 26 gage)Larger than 5 and up to 100.028 (No. 24 gage)Larger than 10 and up to 160.034 (No. 22 gage)Larger than 160.064 (No. 16 gage)For SI: 1 inch = 25.4 mm.TABLE 803.9(2)MINIMUM CHIMNEY CONNECTOR THICKNESS FOR MEDIUM- AND HIGH-HEAT APPLIANCESAREA (square inches)EQUIVALENT ROUND DIAMETER (inches)MINIMUM THICKNESS (inches)0—1540—140.0575 (No. 16 gage)155—20115—160.075 (No. 14 gage)202—25417—180.0994 (No. 12 gage)Greater than 254Greater than 180.1292 (No. 10 gage)For SI: 1 inch = 25.4 mm, 1 square inch = 645.16 mm2."
803.10,Section 803 Connectors,Installation,,,,,,Connectors shall be installed in accordance with Sections 803.10.1 through 803.10.6.
803.10.1,Section 803 Connectors,Supports and Joints,,,,,,"Connectors shall be supported in an approved manner, and joints shall be fastened with sheet metal screws, rivets or other approved means."
803.10.2,Section 803 Connectors,Length,,,,,,The maximum horizontal length of a single-wall connector shall be 75 percent of the height of the chimney or vent.
803.10.3,Section 803 Connectors,Connection,,,,,,"The connector shall extend to the inner face of the chimney or vent liner, but not beyond. A connector entering a masonry chimney shall be cemented to masonry in an approved manner. Where thimbles are installed to facilitate removal of the connector from the masonry chimney, the thimble shall be permanently cemented in place with high-temperature cement."
803.10.4,Section 803 Connectors,Connector Pass-Through,,,,,,"Chimney connectors shall not pass through any floor or ceiling, nor through a fire-resistance-rated wall assembly. Chimney connectors for domestic-type appliances shall not pass through walls or partitions constructed of combustible material to reach a masonry chimney except where one of the following applies: The connector is labeled for wall pass-through and is installed in accordance with the manufacturer's instructions.The connector is put through a device labeled for wall pass-through.The connector has a diameter not larger than 10 inches (254 mm) and is installed in accordance with one of the methods in Table 803.10.4. Concealed metal parts of the pass-through system in contact with flue gases shall be of stainless steel or equivalent material that resists corrosion, softening or cracking up to 1,800°F (980°C). TABLE 803.10.4CHIMNEY CONNECTOR SYSTEMS AND CLEARANCES TO COMBUSTIBLE WALL MATERIALS FOR DOMESTIC HEATING APPLIANCESa, b, c, d System A(12-inch clearance) A 3.5-inch-thick brick wall shall be framed into the combustible wall. An 0.625-inch-thick fire-clay liner (ASTM C315 or equivalent)e shall be firmly cemented in the center of the brick wall maintaining a 12-inch clearance to combustibles. The clay liner shall run from the outer surface of the bricks to the inner surface of the chimney liner. System B(9-inch clearance) A labeled solid-insulated factory-built chimney section (1-inch insulation) the same inside diameter as the connector shall be utilized. Sheet steel supports cut to maintain a 9-inch clearance to combustibles shall be fastened to the wall surface and to the chimney section. Fasteners shall not penetrate the chimney flue liner. The chimney length shall be flush with the masonry chimney liner and sealed to the masonry with water-insoluble refractory cement. Chimney manufacturers' parts shall be utilized to securely fasten the chimney connector to the chimney section. System C(6-inch clearance) A steel ventilated thimble having a minimum thickness of 0.0236 inch (No. 24 gage) having two 1-inch air channels shall be installed with a steel chimney connector. Steel supports shall be cut to maintain a 6-inch clearance between the thimble and combustibles. The chimney connector and steel supports shall have a minimum thickness of 0.0236 inch (No. 24 gage). One side of the support shall be fastened to the wall on all sides. Glass-fiber insulation shall fill the 6-inch space between the thimble and the supports. System D(2-inch clearance) A labeled solid-insulated factory-built chimney section (1-inch insulation) with a diameter 2 inches larger than the chimney connector shall be installed with a steel chimney connector having a minimum thickness of 0.0236 inch (No. 24 gage). Sheet steel supports shall be positioned to maintain a 2-inch clearance to combustibles and to hold the chimney connector to ensure that a 1-inch airspace surrounds the chimney connector through the chimney section. The steel support shall be fastened to the wall on all sides and the chimney section shall be fastened to the supports. Fasteners shall not penetrate the liner of the chimney section. For SI: 1 inch = 25.4 mm, 1.0 Btu • in/ft2• h • °F = 0.144 W/m2• K.Insulation material that is part of the wall pass-through system shall be noncombustible and shall have a thermal conductivity of 1.0 Btu • in/ft2• h • °F or less.All clearances and thicknesses are minimums.Materials utilized to seal penetrations for the connector shall be noncombustible.Connectors for all systems except System B shall extend through the wall pass-through system to the inner face of the flue liner.ASTM C315."
803.10.5,Section 803 Connectors,Pitch,,,,,,Connectors shall rise vertically to the chimney or vent with a minimum pitch equal to 1/4 unit vertical in 12 units horizontal (2-percent slope).
803.10.6,Section 803 Connectors,Clearances,,,,,,"Connectors shall have a minimum clearance to combustibles in accordance with Table 803.10.6. The clearances specified in Table 803.10.6 apply, except where the listing and labeling of an appliance specifies a different clearance, in which case the labeled clearance shall apply. The clearance to combustibles for connectors shall be reduced only in accordance with Section 308.TABLE 803.10.6CONNECTOR CLEARANCES TO COMBUSTIBLESTYPE OF APPLIANCEMINIMUM CLEARANCE (inches)Domestic-type appliancesChimney and vent connectorsElectric and oil incinerators18Oil and solid-fuel appliances18Oil appliances labeled for venting with Type L vents9Commercial, industrial-type appliancesLow-heat appliancesChimney connectorsOil and solid-fuel boilers, furnace and water heaters18Oil unit heaters18Other low-heat industrial appliances18Medium-heat appliancesChimney connectorsAll oil and solid-fuel appliances36High-heat appliances(As determined by the code official)Masonry or metal connectorsAll oil and solid-fuel appliancesFor SI: 1 inch = 25.4 mm."
804.1,"Section 804 Direct-Vent, Integral Vent and Mechanical Draft Systems",Direct-Vent Terminations,,,,,,Vent terminals for direct-vent appliances shall be installed in accordance with the manufacturer's instructions.
804.2,"Section 804 Direct-Vent, Integral Vent and Mechanical Draft Systems",Appliances With Integral Vents,,,,,,Appliances incorporating integral venting means shall be installed in accordance with their listings and the manufacturer's installation instructions.
