id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
P,,Construction and Demolition Material Management,,,,,,
P101.1,P101 General,Purpose,,,,,,The purpose of this code is to increase the reuse and recycling of construction and demolition materials.
P101.2,P101 General,Scope,,,,,,"This code applies to new building construction, alterations to existing buildings and the demolition of existing buildings having a work area greater than 750 square feet or a project value greater than $75,000, whichever is more restrictive.EXCEPTION: Projects determined to be unsafe pursuant to Section 116."
P102,,General Definitions,,,,,,"Demolition. The process of razing, relocating, or removing an existing building or structure, or a portion thereof.Divert, diverted, or diversion. The reuse, recycling, or beneficial use of construction and demolition materials.Recycling. The process of transforming or remanufacturing waste materials into useable or marketable materials for use other than landfill disposal, combustion, or incineration.Reuse. The return of a material into the economic stream for use.Salvage. The recovery of construction and demolition building material and components from a building or site in order to increase the reuse or repurpose potential of these materials and decrease the amount of material being sent to the landfill. Salvaged material may be sold, donated, or reused on site."
P103.1,P103 Construction and Demolition Material Management,Collection Containers,,,,,,All sites where recyclable construction and demolition materials are generated and transported for recycling must provide a separate container for nonrecyclable materials pursuant to WAC 173-345-040.
P103.2,P103 Construction and Demolition Material Management,Salvage Assessment,,,,,,"A salvage assessment shall be submitted prior to permit issuance. The salvage assessment shall identify the building components of an existing building that, if removed, have the potential to be reused. This assessment shall be signed by the owner and serve as an affidavit stating that the project shall be executed in compliance with the requirements of this code.EXCEPTION: Projects that include only new construction."
P103.3,P103 Construction and Demolition Material Management,Waste Diversion Report,,,,,,A waste diversion report shall be submitted prior to issuance of the Certificate of Occupancy. The waste diversion report shall identify the following:Weight or volume of project-generated construction and demolition material;Whether the material was disposed in a landfill or diverted;The hauler of the material;The receiving facility or location; andThe date materials were accepted by the receiving facility or location.
